ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
1371,Business,Finance,"Digital Marketing, Business Strategy, Entrepreneurship","Market Research, Project Management, Salesforce, Negotiation",Marketing Manager,20625 - 56250 SAR,"Google Ads Certification, None","Google Analytics, Microsoft Power BI, Slack","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
1372,Technology,Cyber Security,"App Development, Data Science, Cloud Computing","Python, Kubernetes, SQL, Java",Software Engineer,26250 - 67500 SAR,"Microsoft Azure Developer, AWS Certified","Docker, MATLAB, Power BI","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
1373,Technology,Computer Science,"Machine Learning, Cloud Computing, Data Science","Java, Cloud Computing, SQL, AWS",Cybersecurity Analyst,26250 - 67500 SAR,"Certified Ethical Hacker (CEH), None","Apache Spark, Tableau, MATLAB","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
1374,Technology,Cyber Security,"Blockchain, Machine Learning, App Development","C++, Cloud Computing, Data Analysis, React",AI Engineer,18750 - 56250 SAR,"TensorFlow Developer Certificate, None","Google Cloud, TensorFlow, Jupyter Notebook","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1375,Business,Finance,"Entrepreneurship, Digital Marketing, Sales","Project Management, Excel, Market Research, Supply Chain Management",Fintech Business Analyst,22500 - 60000 SAR,"Fintech & Blockchain Certification, AI in Finance","HubSpot, Asana, Slack",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
1376,Design,UI/UX,"Motion Graphics, Illustration, UI/UX","Graphic Design, UI/UX Research, Typography, Blender",3D Artist,13125 - 37500 SAR,"3D Animation Certificate, None","ZBrush, Adobe XD, Affinity Designer","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1377,Technology,AI & Robotics,"Blockchain, Data Science, Cloud Computing","Java, SQL, iOS Development, AWS",Software Engineer,26250 - 67500 SAR,"Microsoft Azure Developer, AWS Certified","MATLAB, Apache Spark, Arduino","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
1378,Technology,Computer Science,"Machine Learning, Cloud Computing, App Development","Blockchain, iOS Development, Machine Learning, Java",Software Engineer,18750 - 56250 SAR,"AWS Certified, Microsoft Azure Developer","MATLAB, GitHub, IBM Watson","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
1379,Business,Human Resources,"Business Strategy, Sales, Consulting","Presentation Skills, Google Analytics, Financial Analysis, Market Research",Data Analyst,22500 - 60000 SAR,"None, Python for Data Analysis","Slack, Oracle ERP, Asana","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1380,Technology,Software Engineering,"App Development, Data Science, Blockchain","Data Analysis, Cloud Computing, Java, Swift",Data Scientist,26250 - 67500 SAR,"Google Data Analytics Certificate, AWS Data Analytics","Arduino, Microsoft Azure, Oracle Cloud","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
1381,Design,UI/UX,"Illustration, UI/UX, Branding","Motion Graphics, Typography, Product Prototyping, Blender",UX Engineer,16875 - 45000 SAR,None,"Procreate, Canva, Adobe XD","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1382,Technology,Data Science,"Cloud Computing, Web Development, Data Science","React, SQL, TensorFlow, Machine Learning",Frontend Developer,26250 - 67500 SAR,"Google Mobile Web Specialist, None","Apache Spark, Google Cloud, MATLAB","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
1383,Design,UI/UX,"UI/UX, Illustration, Branding","Product Prototyping, Sketch, UI/UX Research, Blender",Motion Graphics Designer,18750 - 52500 SAR,"None, Adobe After Effects Certification","Cinema 4D, Adobe XD, Maya","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1384,Business,Human Resources,"Consulting, Sales, Business Strategy","Advertising, Supply Chain Management, Google Analytics, E-commerce",Financial Analyst,20625 - 56250 SAR,"None, Chartered Financial Analyst (CFA)","Slack, Hootsuite, Asana","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
1385,Technology,Cyber Security,"App Development, Web Development, Data Science","Android Development, TensorFlow, Data Analysis, Blockchain",Cybersecurity Analyst,26250 - 67500 SAR,"None, CompTIA Security+","Arduino, Oracle Cloud, Jupyter Notebook","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
1386,Business,Marketing,"Entrepreneurship, Sales, Consulting","Social Media Marketing, Project Management, Presentation Skills, E-commerce",Marketing Manager,22500 - 60000 SAR,"None, Google Ads Certification","Asana, Hootsuite, HubSpot","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
1387,Technology,Computer Science,"Web Development, Machine Learning, Data Science","React, AWS, SQL, Android Development",Cybersecurity Analyst,26250 - 67500 SAR,"CompTIA Security+, Certified Ethical Hacker (CEH)","TensorFlow, Arduino, Tableau","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
1388,Technology,Software Engineering,"Blockchain, Cloud Computing, Machine Learning","Swift, API Development, Cloud Computing, Android Development",Cybersecurity Analyst,15000 - 45000 SAR,"None, Certified Ethical Hacker (CEH)","Oracle Cloud, Jupyter Notebook, Tableau","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
1389,Business,Human Resources,"Sales, Business Strategy, Consulting","Social Media Marketing, Supply Chain Management, E-commerce, Financial Analysis",Sales Manager,20625 - 56250 SAR,"None, Salesforce Certification","Monday.com, Google Analytics, Slack","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
1390,Design,UI/UX,"Illustration, 3D Design, UI/UX","Cinema 4D, 3D Animation, UI/UX Research, Product Prototyping",UX Engineer,16875 - 45000 SAR,None,"CorelDRAW, Canva, Adobe XD","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1391,Design,UI/UX,"Branding, UI/UX, 3D Design","Figma, Illustrator, Cinema 4D, Graphic Design",UX Engineer,18750 - 52500 SAR,None,"Blender, Cinema 4D, Figma","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1392,Design,Graphic Design,"UI/UX, Motion Graphics, Illustration","Illustrator, Typography, After Effects, Brand Identity",3D Artist,16875 - 45000 SAR,"None, 3D Animation Certificate","Adobe XD, Affinity Designer, ZBrush","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1393,Design,Product Design,"Motion Graphics, UI/UX, 3D Design","Wireframing, 3D Animation, Blender, Sketch",UI/UX Designer,13125 - 37500 SAR,"None, Google UX Design Certificate","ZBrush, Blender, Adobe XD","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
1394,Business,Project Management,"Business Strategy, Entrepreneurship, Digital Marketing","Excel, Supply Chain Management, Financial Analysis, Market Research",Sales Manager,20625 - 56250 SAR,"Salesforce Certification, None","Asana, HubSpot, Hootsuite","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
1395,Business,Marketing,"Sales, Consulting, Digital Marketing","Excel, E-commerce, SEO, Google Analytics",Financial Analyst,20625 - 56250 SAR,"Chartered Financial Analyst (CFA), None","Slack, Salesforce, Trello","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
1396,Technology,Data Science,"Web Development, Data Science, App Development","AWS, C++, TensorFlow, Cybersecurity",Software Engineer,15000 - 45000 SAR,"AWS Certified, None","IBM Watson, Power BI, MATLAB","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
1397,Business,Human Resources,"Business Strategy, Sales, Digital Marketing","Advertising, Supply Chain Management, Negotiation, Excel",Sales Manager,20625 - 56250 SAR,"None, Salesforce Certification","Microsoft Power BI, Google Analytics, HubSpot","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
1398,Technology,Computer Science,"Data Science, Blockchain, Cloud Computing","Android Development, Kubernetes, iOS Development, Cybersecurity",AI Engineer,18750 - 56250 SAR,"TensorFlow Developer Certificate, None","GitHub, Microsoft Azure, Oracle Cloud","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1399,Design,Product Design,"Motion Graphics, Branding, Illustration","Sketch, Figma, After Effects, Adobe Photoshop",3D Artist,16875 - 45000 SAR,"None, 3D Animation Certificate","Canva, Maya, Cinema 4D","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1400,Design,UI/UX,"UI/UX, 3D Design, Motion Graphics","Figma, Typography, Illustrator, Adobe Photoshop",3D Artist,13125 - 37500 SAR,"3D Animation Certificate, None","ZBrush, Krita, CorelDRAW","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1401,Technology,Data Science,"Web Development, Blockchain, Data Science","Blockchain, iOS Development, Kubernetes, Swift",Software Engineer,26250 - 67500 SAR,"Microsoft Azure Developer, None","Power BI, Docker, Microsoft Azure","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
1402,Business,Marketing,"Sales, Business Strategy, Digital Marketing","Salesforce, Excel, Presentation Skills, SEO",Data Analyst,16875 - 45000 SAR,"Python for Data Analysis, Google Data Analytics Certificate","SAP, Slack, Asana","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1403,Business,Finance,"Digital Marketing, Sales, Consulting","Google Analytics, Salesforce, E-commerce, Excel",Data Analyst,22500 - 60000 SAR,"Python for Data Analysis, Google Data Analytics Certificate","Salesforce, Oracle ERP, Microsoft Power BI","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1404,Design,UI/UX,"3D Design, Motion Graphics, UI/UX","Figma, Motion Graphics, Illustrator, Blender",Graphic Designer,16875 - 45000 SAR,"3D Modeling Certification, Adobe Certified Expert","Canva, Affinity Designer, Adobe XD","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
1405,Business,Finance,"Digital Marketing, Entrepreneurship, Business Strategy","Presentation Skills, Financial Analysis, SEO, Social Media Marketing",Data Analyst,20625 - 56250 SAR,"Google Data Analytics Certificate, None","Asana, Google Analytics, Trello","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1406,Business,Finance,"Entrepreneurship, Sales, Business Strategy","Presentation Skills, Financial Analysis, Salesforce, Project Management",Data Analyst,22500 - 60000 SAR,"None, Python for Data Analysis","Microsoft Power BI, Oracle ERP, Monday.com","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
1407,Design,Graphic Design,"UI/UX, 3D Design, Illustration","Typography, Product Prototyping, Sketch, After Effects",UI/UX Designer,18750 - 52500 SAR,"None, Google UX Design Certificate","ZBrush, Procreate, Maya","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
1408,Design,Animation,"Motion Graphics, Branding, 3D Design","Blender, Typography, Illustrator, Sketch",Motion Graphics Designer,16875 - 45000 SAR,"Motion Graphics Pro, None","CorelDRAW, Krita, ZBrush","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1409,Business,Human Resources,"Business Strategy, Entrepreneurship, Digital Marketing","Negotiation, Google Analytics, Project Management, Presentation Skills",Strategy Consultant,22500 - 60000 SAR,"None, Certified Strategy Consultant","SAP, Oracle ERP, Slack","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
1410,Technology,Data Science,"Cloud Computing, Data Science, Web Development","Java, Cybersecurity, Cloud Computing, Swift",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, Google ML Certification","Apache Spark, Docker, Jupyter Notebook","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1411,Technology,Software Engineering,"Machine Learning, Web Development, Blockchain","Java, Machine Learning, Android Development, Cybersecurity",Cybersecurity Analyst,26250 - 67500 SAR,"Certified Ethical Hacker (CEH), CompTIA Security+","IBM Watson, Oracle Cloud, Apache Spark","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
1412,Design,Product Design,"UI/UX, Motion Graphics, Illustration","Typography, Brand Identity, Cinema 4D, After Effects",UI/UX Designer,18750 - 52500 SAR,"Google UX Design Certificate, None","Maya, CorelDRAW, Affinity Designer","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
1413,Business,Marketing,"Consulting, Entrepreneurship, Business Strategy","Project Management, Excel, SEO, Salesforce",Strategy Consultant,16875 - 45000 SAR,"Certified Strategy Consultant, None","Hootsuite, Asana, Trello","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
1414,Design,Animation,"Branding, Motion Graphics, UI/UX","Blender, Illustrator, After Effects, Cinema 4D",Graphic Designer,18750 - 52500 SAR,"3D Modeling Certification, Adobe Certified Expert","Maya, Affinity Designer, Adobe XD","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
1415,Technology,Computer Science,"Blockchain, Data Science, Cloud Computing","Cybersecurity, Android Development, Cloud Computing, Kubernetes",Frontend Developer,26250 - 67500 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","Tableau, Oracle Cloud, MATLAB","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
1416,Design,UI/UX,"Branding, 3D Design, Motion Graphics","Illustrator, Product Prototyping, After Effects, Wireframing",UX Engineer,18750 - 52500 SAR,None,"ZBrush, Cinema 4D, Sketch","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1417,Business,Human Resources,"Business Strategy, Sales, Digital Marketing","SEO, Google Analytics, Excel, Project Management",Sales Manager,22500 - 60000 SAR,"Salesforce Certification, None","Salesforce, Trello, Slack","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
1418,Technology,AI & Robotics,"App Development, Cloud Computing, Data Science","React, Kubernetes, Java, Machine Learning",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, None","IBM Watson, Tableau, Arduino","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1419,Design,UI/UX,"3D Design, Branding, Illustration","Brand Identity, Illustrator, UI/UX Research, Sketch",Graphic Designer,13125 - 37500 SAR,"Adobe Certified Expert, 3D Modeling Certification","Adobe XD, Affinity Designer, Cinema 4D","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
1420,Design,UI/UX,"Motion Graphics, 3D Design, Illustration","Motion Graphics, Illustrator, UI/UX Research, After Effects",Product Designer,13125 - 37500 SAR,"None, Certified Design Thinking Professional","Sketch, Krita, Procreate",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
1421,Business,Project Management,"Sales, Entrepreneurship, Digital Marketing","Presentation Skills, E-commerce, Excel, SEO",Strategy Consultant,22500 - 60000 SAR,"Six Sigma Black Belt, Certified Strategy Consultant","Hootsuite, Oracle ERP, HubSpot","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
1422,Design,Graphic Design,"Motion Graphics, 3D Design, UI/UX","UI/UX Research, Wireframing, Figma, Graphic Design",Motion Graphics Designer,18750 - 52500 SAR,"None, Adobe After Effects Certification","CorelDRAW, Sketch, Adobe XD","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1423,Design,UI/UX,"Branding, 3D Design, Motion Graphics","Typography, After Effects, Illustrator, Blender",UX Engineer,13125 - 37500 SAR,None,"Krita, ZBrush, Affinity Designer","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
1424,Technology,Cyber Security,"Blockchain, Machine Learning, Data Science","AWS, API Development, Cloud Computing, Android Development",Software Engineer,18750 - 56250 SAR,"Microsoft Azure Developer, None","Tableau, Docker, Jupyter Notebook","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
1425,Business,Project Management,"Consulting, Sales, Business Strategy","Market Research, Project Management, Presentation Skills, Financial Analysis",Business Analyst,20625 - 56250 SAR,"Data Analytics Certificate, None","Hootsuite, Asana, Oracle ERP","Analyzes market trends in Saudi Arabia, provides data-driven recommendations to companies, and optimizes business operations for growth.","Data Visualization for Business, SQL for Business Analytics, Excel Power Query"
1426,Business,Finance,"Consulting, Digital Marketing, Entrepreneurship","Market Research, Presentation Skills, Financial Analysis, Advertising",Fintech Business Analyst,16875 - 45000 SAR,"AI in Finance, Fintech & Blockchain Certification","Google Analytics, Salesforce, Asana",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
1427,Business,Finance,"Business Strategy, Entrepreneurship, Consulting","Advertising, Supply Chain Management, Presentation Skills, Excel",Sales Manager,20625 - 56250 SAR,"None, Salesforce Certification","Trello, Oracle ERP, HubSpot","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
1428,Technology,AI & Robotics,"Data Science, App Development, Blockchain","Cybersecurity, Machine Learning, SQL, Android Development",Cloud Architect,15000 - 45000 SAR,"AWS Certified Solutions Architect, Google Cloud Architect","Microsoft Azure, Arduino, Apache Spark","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1429,Technology,AI & Robotics,"Cloud Computing, Data Science, Machine Learning","Data Analysis, Cybersecurity, TensorFlow, API Development",Cloud Architect,18750 - 56250 SAR,"AWS Certified Solutions Architect, None","IBM Watson, Microsoft Azure, MATLAB","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1430,Business,Human Resources,"Consulting, Entrepreneurship, Business Strategy","Advertising, Negotiation, Supply Chain Management, SEO",Financial Analyst,22500 - 60000 SAR,"None, Certified Financial Planner (CFP)","Oracle ERP, Monday.com, Slack","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
1431,Technology,Cyber Security,"Cloud Computing, Blockchain, Machine Learning","Java, AWS, Cybersecurity, TensorFlow",Cloud Architect,18750 - 56250 SAR,"None, AWS Certified Solutions Architect","GitHub, Arduino, TensorFlow","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
1432,Business,Human Resources,"Business Strategy, Digital Marketing, Sales","Presentation Skills, Google Analytics, SEO, Supply Chain Management",Marketing Manager,22500 - 60000 SAR,"Certified Digital Marketing Professional, Google Ads Certification","Trello, Oracle ERP, Asana","Develops marketing strategies for Saudi businesses, focusing on digital advertising, influencer collaborations, and localized content marketing.","SEO & Digital Marketing, Social Media Growth Strategies, Branding & Market Research"
1433,Design,UI/UX,"Motion Graphics, Illustration, Branding","Wireframing, Typography, Graphic Design, Adobe Photoshop",3D Artist,18750 - 52500 SAR,"3D Animation Certificate, Blender Certification","Canva, Maya, Adobe XD","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1434,Technology,Cyber Security,"Data Science, Machine Learning, Blockchain","React, Blockchain, Swift, Python",Frontend Developer,15000 - 45000 SAR,"Google Mobile Web Specialist, None","Apache Spark, Oracle Cloud, IBM Watson","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
1435,Technology,Data Science,"Machine Learning, Blockchain, App Development","Java, Data Analysis, Swift, TensorFlow",AI Engineer,18750 - 56250 SAR,"TensorFlow Developer Certificate, None","MATLAB, Apache Spark, IBM Watson","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1436,Technology,Cyber Security,"Blockchain, Data Science, App Development","Android Development, Machine Learning, Java, Kubernetes",AI Engineer,15000 - 45000 SAR,"TensorFlow Developer Certificate, Google ML Certification","Oracle Cloud, Microsoft Azure, Google Cloud","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
1437,Design,UI/UX,"Branding, 3D Design, Motion Graphics","Product Prototyping, After Effects, Adobe Photoshop, Typography",Graphic Designer,18750 - 52500 SAR,"3D Modeling Certification, None","ZBrush, Sketch, Cinema 4D","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
1438,Business,Project Management,"Consulting, Sales, Entrepreneurship","E-commerce, Negotiation, Excel, Advertising",Business Analyst,22500 - 60000 SAR,"Data Analytics Certificate, Certified Business Analysis Professional (CBAP)","Salesforce, Hootsuite, SAP","Analyzes market trends in Saudi Arabia, provides data-driven recommendations to companies, and optimizes business operations for growth.","Data Visualization for Business, SQL for Business Analytics, Excel Power Query"
1439,Design,Animation,"UI/UX, Illustration, 3D Design","Graphic Design, 3D Animation, Wireframing, Blender",Motion Graphics Designer,18750 - 52500 SAR,"None, Adobe After Effects Certification","Maya, Adobe XD, Blender","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
1440,Technology,Data Science,"Cloud Computing, Data Science, Blockchain","Data Analysis, Android Development, Kubernetes, Cloud Computing",Cybersecurity Analyst,15000 - 45000 SAR,"None, Certified Ethical Hacker (CEH)","Microsoft Azure, Apache Spark, GitHub","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
1441,Business,Project Management,"Entrepreneurship, Business Strategy, Consulting","Negotiation, Project Management, Financial Analysis, Supply Chain Management",HR Specialist,16875 - 45000 SAR,"PMP, None","Asana, Microsoft Power BI, Salesforce","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
1442,Design,Animation,"Branding, 3D Design, Illustration","Sketch, Graphic Design, 3D Animation, Wireframing",UI/UX Designer,13125 - 37500 SAR,"Adobe Certified Expert, Google UX Design Certificate","Canva, Figma, Maya","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
1443,Business,Finance,"Consulting, Business Strategy, Digital Marketing","Financial Analysis, SEO, Social Media Marketing, Excel",Financial Analyst,20625 - 56250 SAR,"None, Certified Financial Planner (CFP)","Salesforce, Asana, HubSpot","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
1444,Design,Graphic Design,"Branding, Motion Graphics, 3D Design","Typography, Wireframing, Cinema 4D, Illustrator",3D Artist,16875 - 45000 SAR,"Blender Certification, None","Figma, ZBrush, Adobe XD","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
1445,Technology,Software Engineering,"Machine Learning, Web Development, Blockchain","Blockchain, AWS, API Development, Cybersecurity",Software Engineer,15000 - 45000 SAR,"None, Microsoft Azure Developer","TensorFlow, Google Cloud, IBM Watson","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
